Name,Version
libapt-pkg5.0:amd64,1.2.29
libarchive-zip-perl,1.56
libarchive13:amd64,3.1.2
libart-2.0-2:amd64,2.3.21
libasan0:amd64,4.8.5
libasan2:amd64,5.4.0
libasn1-8-heimdal:amd64,1.7
libasound2:amd64,1.1.0
libasound2-data,1.1.0
libasound2-plugins:amd64,1.1.0
libaspell15:amd64,0.60.7
libasprintf-dev:amd64,0.19.7
libasprintf0v5:amd64,0.19.7
libass5:amd64,0.13.1
libassuan0:amd64,2.4.2
libasyncns0:amd64,0.8
libatasmart4:amd64,0.19
libatk-adaptor:amd64,2.18.1
libatk-bridge2.0-0:amd64,2.18.1
libatk1.0-0:amd64,2.18.0
libatk1.0-data,2.18.0
libatkmm-1.6-1v5:amd64,2.24.2
libatm1:amd64,2.5.1
libatomic1:amd64,5.4.0
libatspi2.0-0:amd64,2.18.3
libattr1:amd64,2.4.47
libaudio2:amd64,1.9.4
libaudit-common,2.4.5
libaudit1:amd64,2.4.5
libauthen-sasl-perl,2.1600
libavahi-client3:amd64,0.6.32
libavahi-common-data:amd64,0.6.32
libavahi-common3:amd64,0.6.32
libavahi-core7:amd64,0.6.32
libavahi-glib1:amd64,0.6.32
libavahi-ui-gtk3-0:amd64,0.6.32
libavc1394-0:amd64,0.5.4
libavcodec-ffmpeg56:amd64,2.8.15
libavfilter-ffmpeg5:amd64,2.8.15
libavformat-ffmpeg56:amd64,2.8.15
libavresample-ffmpeg2:amd64,2.8.15
libavutil-ffmpeg54:amd64,2.8.15
libbabeltrace-ctf1:amd64,1.3.2
libbabeltrace1:amd64,1.3.2
libbamf3-2:amd64,0.5.3
libbdplus0:amd64,0.1.2
libbind9-140:amd64,9.10.3.dfsg.P4
libbison-dev:amd64,3.0.4.dfsg
libblas-common,3.6.0
libblas3,3.6.0
libblkid1:amd64,2.27.1
libbluetooth3:amd64,5.37
libbluray1:amd64,0.9.2
libbonobo2-0:amd64,2.32.1
libbonobo2-common,2.32.1
libboost-all-dev,1.58.0.1
libboost-atomic-dev:amd64,1.58.0.1
libboost-atomic1.58-dev:amd64,1.58.0
libboost-atomic1.58.0:amd64,1.58.0
libboost-chrono-dev:amd64,1.58.0.1
libboost-chrono1.58-dev:amd64,1.58.0
libboost-chrono1.58.0:amd64,1.58.0
libboost-context-dev:amd64,1.58.0.1
libboost-context1.58-dev:amd64,1.58.0
libboost-context1.58.0:amd64,1.58.0
libboost-coroutine-dev:amd64,1.58.0.1
libboost-coroutine1.58-dev:amd64,1.58.0
libboost-coroutine1.58.0:amd64,1.58.0
libboost-date-time-dev:amd64,1.58.0.1
libboost-date-time1.58-dev:amd64,1.58.0
libboost-date-time1.58.0:amd64,1.58.0
libboost-dev:amd64,1.58.0.1
libboost-exception-dev:amd64,1.58.0.1
libboost-exception1.58-dev:amd64,1.58.0
libboost-filesystem-dev:amd64,1.58.0.1
libboost-filesystem1.58-dev:amd64,1.58.0
libboost-filesystem1.58.0:amd64,1.58.0
libboost-graph-dev:amd64,1.58.0.1
libboost-graph-parallel-dev,1.58.0.1
libboost-graph-parallel1.58-dev,1.58.0
libboost-graph-parallel1.58.0,1.58.0
libboost-graph1.58-dev:amd64,1.58.0
libboost-graph1.58.0:amd64,1.58.0
libboost-iostreams-dev:amd64,1.58.0.1
libboost-iostreams1.58-dev:amd64,1.58.0
libboost-iostreams1.58.0:amd64,1.58.0
libboost-locale-dev:amd64,1.58.0.1
libboost-locale1.58-dev:amd64,1.58.0
libboost-locale1.58.0:amd64,1.58.0
libboost-log-dev,1.58.0.1
libboost-log1.58-dev,1.58.0
libboost-log1.58.0,1.58.0
libboost-math-dev:amd64,1.58.0.1
libboost-math1.58-dev:amd64,1.58.0
libboost-math1.58.0:amd64,1.58.0
libboost-mpi-dev,1.58.0.1
libboost-mpi-python-dev,1.58.0.1
libboost-mpi-python1.58-dev,1.58.0
libboost-mpi-python1.58.0,1.58.0
libboost-mpi1.58-dev,1.58.0
libboost-mpi1.58.0,1.58.0
libboost-program-options-dev:amd64,1.58.0.1
libboost-program-options1.58-dev:amd64,1.58.0
libboost-program-options1.58.0:amd64,1.58.0
libboost-python-dev,1.58.0.1
libboost-python1.58-dev,1.58.0
libboost-python1.58.0,1.58.0
libboost-random-dev:amd64,1.58.0.1
libboost-random1.58-dev:amd64,1.58.0
libboost-random1.58.0:amd64,1.58.0
libboost-regex-dev:amd64,1.58.0.1
libboost-regex1.58-dev:amd64,1.58.0
libboost-regex1.58.0:amd64,1.58.0
libboost-serialization-dev:amd64,1.58.0.1
libboost-serialization1.58-dev:amd64,1.58.0
libboost-serialization1.58.0:amd64,1.58.0
libboost-signals-dev:amd64,1.58.0.1
libboost-signals1.58-dev:amd64,1.58.0
libboost-signals1.58.0:amd64,1.58.0
libboost-system-dev:amd64,1.58.0.1
libboost-system1.58-dev:amd64,1.58.0
libboost-system1.58.0:amd64,1.58.0
libboost-test-dev:amd64,1.58.0.1
libboost-test1.58-dev:amd64,1.58.0
libboost-test1.58.0:amd64,1.58.0
libboost-thread-dev:amd64,1.58.0.1
libboost-thread1.58-dev:amd64,1.58.0
libboost-thread1.58.0:amd64,1.58.0
libboost-timer-dev:amd64,1.58.0.1
libboost-timer1.58-dev:amd64,1.58.0
libboost-timer1.58.0:amd64,1.58.0
libboost-tools-dev,1.58.0.1
libboost-wave-dev:amd64,1.58.0.1
libboost-wave1.58-dev:amd64,1.58.0
libboost-wave1.58.0:amd64,1.58.0
libboost1.58-dev:amd64,1.58.0
