Name,Version
libperl5.26:amd64,5.26.1-6ubuntu0.3
libpipeline1:amd64,1.5.0-1
libpixman-1-0:amd64,0.34.0-2
libplymouth4:amd64,0.9.3-1ubuntu7
libpng16-16:amd64,1.6.34-1ubuntu0.18.04.1
libpolkit-agent-1-0:amd64,0.105-20ubuntu0.18.04.4
libpolkit-backend-1-0:amd64,0.105-20ubuntu0.18.04.4
libpolkit-gobject-1-0:amd64,0.105-20ubuntu0.18.04.4
libpoppler-cpp-dev:amd64,0.62.0-2ubuntu2.6
libpoppler-cpp0v5:amd64,0.62.0-2ubuntu2.6
libpoppler-dev:amd64,0.62.0-2ubuntu2.6
libpoppler73:amd64,0.62.0-2ubuntu2.6
libpopt0:amd64,1.16-11
libprocps6:amd64,2:3.3.12-3ubuntu1.1
libproxy1v5:amd64,0.4.15-1
libpsl5:amd64,0.19.1-5build1
libpulse0:amd64,1:11.1-1ubuntu7.1
libpython-all-dev:amd64,2.7.15~rc1-1
libpython-dev:amd64,2.7.15~rc1-1
libpython-stdlib:amd64,2.7.15~rc1-1
libpython2.7:amd64,2.7.15~rc1-1ubuntu0.1
libpython2.7-dev:amd64,2.7.15~rc1-1ubuntu0.1
libpython2.7-minimal:amd64,2.7.15~rc1-1ubuntu0.1
libpython2.7-stdlib:amd64,2.7.15~rc1-1ubuntu0.1
libpython3-dev:amd64,3.6.5-3ubuntu1
libpython3-stdlib:amd64,3.6.5-3ubuntu1
libpython3.6:amd64,3.6.5-3
libpython3.6-dev:amd64,3.6.5-3
libpython3.6-minimal:amd64,3.6.5-3
libpython3.6-stdlib:amd64,3.6.5-3
libqt5core5a:amd64,5.9.5+dfsg-0ubuntu1
libqt5dbus5:amd64,5.9.5+dfsg-0ubuntu1
libqt5gui5:amd64,5.9.5+dfsg-0ubuntu1
libqt5network5:amd64,5.9.5+dfsg-0ubuntu1
libqt5opengl5:amd64,5.9.5+dfsg-0ubuntu1
libqt5printsupport5:amd64,5.9.5+dfsg-0ubuntu1
libqt5svg5:amd64,5.9.5-0ubuntu1
libqt5widgets5:amd64,5.9.5+dfsg-0ubuntu1
libqt5x11extras5:amd64,5.9.5-0ubuntu1
libquadmath0:amd64,8.2.0-1ubuntu2~18.04
librados2,12.2.4-0ubuntu1.1
libraw1394-11:amd64,2.1.2-1
librbd1,12.2.4-0ubuntu1.1
librdmacm1:amd64,17.1-1
libreadline5:amd64,5.2+dfsg-3build1
libreadline7:amd64,7.0-3
librest-0.7-0:amd64,0.8.0-2
librhash0:amd64,1.3.6-2
libroken18-heimdal:amd64,7.5.0+dfsg-1
librsvg2-2:amd64,2.40.20-2
librsvg2-common:amd64,2.40.20-2
librtmp1:amd64,2.4+20151223.gitfa8646d.1-1
libruby2.5:amd64,2.5.1-1ubuntu1.1
libsamplerate0:amd64,0.1.9-1
libsasl2-2:amd64,2.1.27~101-g0780600+dfsg-3ubuntu2
libsasl2-modules:amd64,2.1.27~101-g0780600+dfsg-3ubuntu2
libsasl2-modules-db:amd64,2.1.27~101-g0780600+dfsg-3ubuntu2
libsdl1.2debian:amd64,1.2.15+dfsg2-0.1
libseccomp2:amd64,2.3.1-2.1ubuntu4
libselinux1:amd64,2.7-2build2
libsemanage-common,2.7-2build2
libsemanage1:amd64,2.7-2build2
libsensors4:amd64,1:3.4.0-4
libsepol1:amd64,2.7-1
libshout3:amd64,2.4.1-2build1
libsigsegv2:amd64,2.12-1
libslang2:amd64,2.3.1a-3ubuntu1
libsm6:amd64,2:1.2.2-1
libsmartcols1:amd64,2.31.1-0.4ubuntu3.1
libsndfile1:amd64,1.0.28-4
libsoup-gnome2.4-1:amd64,2.62.1-1ubuntu0.1
libsoup2.4-1:amd64,2.62.1-1ubuntu0.1
libspeex1:amd64,1.2~rc1.2-1ubuntu2
libspice-server1:amd64,0.14.0-1ubuntu2.2
libsqlite3-0:amd64,3.22.0-1
libss2:amd64,1.44.1-1
libssl1.0-dev:amd64,1.0.2n-1ubuntu5.2
libssl1.0.0:amd64,1.0.2n-1ubuntu5.2
libssl1.1:amd64,1.1.0g-2ubuntu4.3
libstdc++-7-dev:amd64,7.3.0-27ubuntu1~18.04
libstdc++6:amd64,8.2.0-1ubuntu2~18.04
libsystemd0:amd64,237-3ubuntu10.11
libtag1v5:amd64,1.11.1+dfsg.1-0.2build2
libtag1v5-vanilla:amd64,1.11.1+dfsg.1-0.2build2
libtasn1-6:amd64,4.13-2
libtext-charwidth-perl,0.04-7.1
libtext-iconv-perl,1.7-5build6
libtext-wrapi18n-perl,0.06-7.1
libthai-data,0.1.27-2
libthai0:amd64,0.1.27-2
libtheora0:amd64,1.1.1+dfsg.1-14
libtiff5:amd64,4.0.9-5ubuntu0.1
libtinfo5:amd64,6.1-1ubuntu1.18.04
libtsan0:amd64,8.2.0-1ubuntu2~18.04
libtwolame0:amd64,0.3.13-3
libubsan0:amd64,7.3.0-27ubuntu1~18.04
libudev1:amd64,237-3ubuntu10.11
libunistring2:amd64,0.9.9-0ubuntu1
libunwind8:amd64,1.2.1-8
libusb-1.0-0:amd64,2:1.0.21-2
libusbredirparser1:amd64,0.7.1-1
libutempter0:amd64,1.1.6-3
libuuid1:amd64,2.31.1-0.4ubuntu3.1
libuv1:amd64,1.18.0-3
libuv1-dev:amd64,1.18.0-3
libv4l-0:amd64,1.14.2-1
libv4lconvert0:amd64,1.14.2-1
libvisual-0.4-0:amd64,0.4.0-11
libvncserver1:amd64,0.9.11+dfsg-1ubuntu1
libvorbis0a:amd64,1.3.5-4.2
libvorbisenc2:amd64,1.3.5-4.2
libvpx5:amd64,1.7.0-3
libwacom-bin,0.29-1
libwacom-common,0.29-1
libwacom2:amd64,0.29-1
libwavpack1:amd64,5.1.0-2ubuntu1.2
libwayland-client0:amd64,1.14.0-2
libwayland-cursor0:amd64,1.14.0-2
libwayland-egl1-mesa:amd64,18.0.5-0ubuntu0~18.04.1
libwayland-server0:amd64,1.14.0-2
libwind0-heimdal:amd64,7.5.0+dfsg-1
libwrap0:amd64,7.6.q-27
libx11-6:amd64,2:1.6.4-3ubuntu0.1
libx11-data,2:1.6.4-3ubuntu0.1
libx11-xcb1:amd64,2:1.6.4-3ubuntu0.1
libx32asan4,7.3.0-27ubuntu1~18.04
